cu_media_ppm,Ii,E_Ii,Var_Ii,Z_Ii,p_value,Tipo_cluster,Cluster_LISA
92.5,-0.08565709049759028,-0.0015337423312883436,0.1970205064011981,-0.44302202796355095,0.367,HL,No significativo
218.0,-1.3600884807227651,-0.0015337423312883436,0.24665285205918713,-0.8799122431856863,0.193,HL,No significativo
62.5,-0.07862995751401303,-0.0015337423312883436,0.1970205064011981,-0.7978417418103405,0.189,LH,No significativo
80.0,-0.019586361351369107,-0.0015337423312883436,0.24665285205918713,-0.2734638687742406,0.439,HL,No significativo
65.0,0.0033826571821222798,-0.0015337423312883436,0.24665285205918713,0.03309987909988728,0.467,LL,No significativo
70.0,0.007142445063715385,-0.0015337423312883436,0.24665285205918713,0.19357646625182734,0.469,LL,No significativo
60.0,0.12717134039363673,-0.0015337423312883436,0.24665285205918713,0.8912515149797051,0.191,LL,No significativo
85.0,-0.017888819074542664,-0.0015337423312883436,0.991138036929023,-0.06873963772267849,0.474,HL,No significativo
70.0,0.0392338093435334,-0.0015337423312883436,0.32937342815583553,0.9604401196684039,0.165,LL,No significativo
50.0,0.4216092915886018,-0.0015337423312883436,0.32937342815583553,1.489306070940176,0.035,LL,LL
21.0,0.2822295395162897,-0.0015337423312883436,0.24665285205918713,0.5078127758864429,0.337,LL,No significativo
31.666666666666668,0.2753643145816865,-0.0015337423312883436,0.24665285205918713,0.621868262325914,0.286,LL,No significativo
43.333333333333336,-0.5249547492688733,-0.0015337423312883436,0.24665285205918713,-1.6524422597932875,0.06,LH,No significativo
70.0,-0.005565735191092547,-0.0015337423312883436,0.1970205064011981,-0.20483450003369452,0.368,LH,No significativo
50.0,-0.12352758308708986,-0.0015337423312883436,0.24665285205918713,-0.5019112403999023,0.279,LH,No significativo
60.0,0.08150683082260912,-0.0015337423312883436,0.32937342815583553,0.5147088782257677,0.319,LL,No significativo
70.0,-0.006335927933808179,-0.0015337423312883436,0.4948145803491324,-0.08718061953388571,0.414,LH,No significativo
38.75,0.43406503888516607,-0.0015337423312883436,0.32937342815583553,1.0431595505063849,0.144,LL,No significativo
22.0,0.9153472945547018,-0.0015337423312883436,0.32937342815583553,1.4797522142655732,0.038,LL,LL
93.33333333333333,-0.13656674175898384,-0.0015337423312883436,0.4948145803491324,-0.49541418643760743,0.345,HL,No significativo
73.33333333333333,0.00027145035145778357,-0.0015337423312883436,0.32937342815583553,0.4323332550736288,0.37,LL,No significativo
50.0,0.16603021484362984,-0.0015337423312883436,0.32937342815583553,0.598374912927873,0.295,LL,No significativo
50.0,0.19557692891819303,-0.0015337423312883436,0.24665285205918713,0.788761450278177,0.23,LL,No significativo
50.0,0.03602467291555159,-0.0015337423312883436,0.1970205064011981,0.13379340000169263,0.483,LL,No significativo
150.0,-0.8149206924318697,-0.0015337423312883436,0.24665285205918713,-0.9936374745461444,0.156,HL,No significativo
70.0,0.030890054630780713,-0.0015337423312883436,0.32937342815583553,0.7551023694199378,0.234,LL,No significativo
70.0,0.005216963206926306,-0.0015337423312883436,0.991138036929023,0.07162092835429984,0.385,LL,No significativo
17.5,0.8963024747661046,-0.0015337423312883436,0.4948145803491324,1.1080013573728358,0.109,LL,No significativo
50.0,0.37064120980998017,-0.0015337423312883436,0.24665285205918713,1.4806022814431528,0.037,LL,LL
50.0,0.4118588759439959,-0.0015337423312883436,0.24665285205918713,1.645362856377844,0.024,LL,LL
50.0,0.04666148998239434,-0.0015337423312883436,0.1970205064011981,0.17946969307416827,0.468,LL,No significativo
30.0,-0.30316602953059063,-0.0015337423312883436,0.24665285205918713,-0.6535705823633436,0.232,LH,No significativo
50.0,0.2088729502517465,-0.0015337423312883436,0.24665285205918713,0.8337012008319267,0.213,LL,No significativo
37.5,0.6129507906619616,-0.0015337423312883436,0.32937342815583553,1.4003673727558612,0.052,LL,No significativo
40.0,0.4911617709363732,-0.0015337423312883436,0.24665285205918713,1.3751215715912524,0.054,LL,No significativo
26.666666666666668,0.5677844810737029,-0.0015337423312883436,0.32937342815583553,1.001974249793892,0.157,LL,No significativo
85.0,0.2673358437593348,-0.0015337423312883436,0.4948145803491324,1.4892160097346934,0.089,HH,No significativo
98.0,0.4938305592207305,-0.0015337423312883436,0.4948145803491324,1.2933255887422235,0.111,HH,No significativo
85.0,0.061340253934867736,-0.0015337423312883436,0.4948145803491324,0.31289870698128736,0.332,HH,No significativo
70.0,-0.029441710215277153,-0.0015337423312883436,0.24665285205918713,-0.8150793840952822,0.197,LH,No significativo
125.0,0.36064828707290103,-0.0015337423312883436,0.24665285205918713,0.6645254637969834,0.234,HH,No significativo
100.0,-0.1741414821095575,-0.0015337423312883436,0.1970205064011981,-0.652354911775225,0.278,HL,No significativo
